,id,created_at,text,source,userID,name,username,location,userDescription
0,1592279456739115008,2022-11-14 22:13:00+00:00,"Media Gives Joe Biden A New Nickname  #MAGA #TRUMP2024 #Trump

https://t.co/HSHJ7jtX2Y",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
1,1592279451303575553,2022-11-14 22:12:58+00:00,Can’t believe you’re trying to run the same old rundown #MAGAMORON playbook; seems like you and #trump are the only… https://t.co/HhzCbIvY2V,Twitter for iPhone,4026229214,Paddy 🌶🍷🌊🌊😎🌶 With #Ukraine🇺🇦,Krazeley,"Pasadena, CA","⚽️Soccer dad; Fly fisherman, MOTU in the glory days; crazy in a good way! Movin’ to the #DarkSide lol 😆 #DarkBrandon #Irish☘ #Warriors #StopAsianHate #BLM"
2,1592279399420035072,2022-11-14 22:12:46+00:00,"@tribelaw @BrookingsInst Here are some highlights from this updated #BrookingsReport, incl specific charges are exp… https://t.co/grr6Xf4aeP",Twitter for iPad,304630063,Twiggy,JillJessMom,,
3,1592279395594833920,2022-11-14 22:12:45+00:00,Yet another example of #Trump's relentless corruption. https://t.co/Tv4pEpKSkY,Twitter Web App,597177733,Paradigm Shift,zWholeBeing,,
4,1592279372253532161,2022-11-14 22:12:40+00:00,#Republicans will take the #House. This wouldn't have been possible without president #Trump,Twitter for Android,1463939603673538560,Deep In politics,DeepInpolitics1,,"An objective page that tackles worldwide politics, and specially US politics
US Election specialist"
5,1592279232469762049,2022-11-14 22:12:06+00:00,Random Trump https://t.co/2MnvzfmGt2 - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/gr88p2ePVK,Random Trump,999800336750530560,RandomTrump.com,randomtrump1,,Random Trump Gifs - Powered by Giphy - https://t.co/Q3Bc1tsT87
6,1592279205022253062,2022-11-14 22:12:00+00:00,"Fired, Arrested CNN Producer Hit Even Harder  #MAGA #TRUMP2024 #Trump

https://t.co/fMq6Zj430s",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
7,1592278953372356613,2022-11-14 22:11:00+00:00,"Trump Biden 2024 Rematch Poll Shows Wide Gap #MAGA #TRUMP2024 #Trump

https://t.co/EnmHQ7xeIg",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
8,1592278744076525575,2022-11-14 22:10:10+00:00,"TRUMP LIE #24361

""Pocahontas (the bad version), sometimes referred to as Elizabeth Warren, is getting slammed. She… https://t.co/S4wU91uqqa",Hootsuite Inc.,1385036460735279113,allan klepfisz,AllanKlepfisz,,"clinging to the primacy of truth, logic and kindness"
9,1592278730931863552,2022-11-14 22:10:07+00:00,"Also, the @GOP message w/o #Roe is the best message. The problem is that #Trump is damaged, toxic &amp; divisive as mes… https://t.co/wgskOHrQIC",Twitter for iPhone,1939073719,RJ,RJ_Chicago,"Chicago, IL","“I think if you want the future to be good, you must make it so. Take action to make it good, and it will be."" —- Elon Musk @TESLA #Electrification #Audiophile"
10,1592278701701414912,2022-11-14 22:10:00+00:00,"Americans Gives Biden A Christmas Present , FIND OUT   #MAGA #TRUMP2024 #Trump

https://t.co/eMEeMdtVnr",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
11,1592278449917411332,2022-11-14 22:09:00+00:00,"Biden’s Border Situation Spins Out Of Control #MAGA #TRUMP2024 #Trump

https://t.co/X0zSdgA9ij",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
12,1592278447883448320,2022-11-14 22:08:59+00:00,"Based on election ""results""😉 whether its #Trump, #DeSantis... #Lake whoever running in '24 has NO CHANCE
Progressiv… https://t.co/YkUtoahQvP",Twitter Web App,3111736206,☠️SavingtheRepublic.com FJB🇺🇸🇮🇹ULTRA MEGA MAGA,SavngtheRepublc,Free America,"Constitutional Conserv|#SMASHbullies|All Soros drones,PROGRESSIVES&RACISTS will be blocked|Shadowbanned|TruthSocial: SavingTheRepublic|Gettr: SavngTheRepublc"
13,1592278440384024576,2022-11-14 22:08:57+00:00,"Former Trump lawyer Rudy Giuliani will not face criminal charges in Ukraine foreign lobbying case, prosecutors say.… https://t.co/kJPkAw5txw",AnyPoll Links,777941466958008320,Any Poll,AnyPollApp,United States,Poll Updates. USA Poll Results Platform. Political news. Drudge Alternative.
14,1592278265062117376,2022-11-14 22:08:16+00:00,Hey #twitter turn off your TV tomorrow #MuteTrump so we don't give no air to what he wants to say #Ignore #Trump ...,Twitter for Android,1249437493474119680,Lexia Lee,LexiaLee78,Somewhere USA,"mentally still trying to grip onto this new reality...
Wear the Mask! Pissed off American! (
Blue Wave ,Democrat USA  🌊#ourlivesdependonit CashApp-$Lexialee78"
15,1592278198426927105,2022-11-14 22:08:00+00:00,"Joe Biden Faces Investigation Hearing  #MAGA #TRUMP2024 #Trump

https://t.co/RlGhWHivdk",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
16,1592277987168342019,2022-11-14 22:07:09+00:00,Random Trump https://t.co/YOGmxoeWzT - #randomtrump #trump #donaldtrump #giphy #gif #gifs https://t.co/FYZes7kPGn,Random Trump,999800336750530560,RandomTrump.com,randomtrump1,,Random Trump Gifs - Powered by Giphy - https://t.co/Q3Bc1tsT87
17,1592277946739195904,2022-11-14 22:07:00+00:00,"Biden Plummets In Swing State He Won In 2020 #MAGA #TRUMP2024 #Trump

https://t.co/FzO7iOHhtO",TweetDeck,1574096740696920065,Media Opinion,MediaOpinion19,,"#ULTRAMAGA #MAGA #TRUMP2024 #PATRIOT
.Media Opinion is a journal engaged in conservative Reports & News 
.Trump Supporter Community"
18,1592277908923756545,2022-11-14 22:06:51+00:00,"The greatest political move North America can make is to send Biden &amp; Trudeau hand in hand into the sunset, let som… https://t.co/1LVJTVNJB9",Twitter Web App,739286654486089728,PatriotsForTrump,TrumpWorld2017,,"President Trump Loves America.He believes Americans should come first in America. Join Us.
#GodBlessPresidentTrump"
19,1592277890754019329,2022-11-14 22:06:46+00:00,This president can dance ! #Maralago #trump @JewishVoice https://t.co/7ax4keuAJp,Twitter for iPhone,57417404,The Jewish Voice,JewishVoice,"New York, NY","More #JewishNews than the @NYT, @NYP, @Newsday and @WSJ COMBINED! Text/call us+1 (917) 246-0241"
20,1592277864610758656,2022-11-14 22:06:40+00:00,"👇🇺🇸""Club for Growth steps on Trump relaunch with polls showing DeSantis beating him"" #Trump #DeSantis… https://t.co/lTNpqbughq",Twitter Web App,2495288630,𝑪𝒉𝒓𝒊𝒔 𝑻𝒉𝒐𝒓𝒏𝒆®,thorchrs,,"Biker, Dog Lover, Musician, Pilot, Proud Poppy, Retired Broadcast Professional #DirtyMartinis ... 'ancestors run in my family'"
