Publication Date	Time	Author	Title	URL	Text
2021-11-01	09:45:30+00:00	Anya Ryan	Going vegan made me afraid of losing connection to my Pakistani heritage	https://metro.co.uk/2021/11/01/going-vegan-made-me-afraid-of-losing-connection-to-my-pakistani-heritage-15519706/	Growing up, food was a language of cultural connection for me. Having never travelled to Pakistan and failing to learn my relatives’ language, it offered a taste of understanding. Traditional sheikh kebabs, masala spiced fish, or lamb keema curries were swapped between my extended family members as weekly markers of affection, each dish a tiny lesson on our history. The flavours were an expression of my ancestors’ lives and identities, laid out on a plate and recipes, long ago perfected, were passed down from one generation to the next. So, when I decided to adopt a plant-based diet after taking part in the annual Veganuary campaign three years ago, I had a problem more complicated than simply avoiding dairy or eggs: I could no longer eat the foods that had tied me to my heritage. Veganuary started as a bit of fun. A challenge spurred on by curiosity, to see if I could really go a month without melting cheese over jacket potatoes and persevere, despite my fantasies of thick cream layered desserts. But once I started to look into the benefits of veganism, I found it hard to go back. Sucked in by the documentaries, the carefully constructed vegan Instagrams, and the news that a plant-based diet was one of the best things I could do for the planet – a month after avoiding all temptation, I was sold. I felt my skin clearing up. I discovered I appreciated the added veggies in my diet, and with the knowledge of its ethical and environmental merits, I was even gifted a secret sense of fulfilment. What was not to like? Well, according to my family, a lot of things. Though I’d dabbled in pescetarianism years before, when I announced my decision to go fully vegan, I was met with everything from a complete lack of understanding of what being vegan actually meant, to a constant stream of ‘but why?’s. My relatives couldn’t fathom why I’d optionally push aside the food my grandma had spent hours cooking and were filled with worry that I wasn’t fuelling my body correctly. Worse than their response, however, was my own creeping sense that by going vegan, I would never feel properly connected to our culture again. Swept up by how good going plant-based was making me feel, I never stopped to consider how it might affect that part of my life. Having made the decision to try to make my veganism permanent, doubts lingered, and once I was with my extended family they were hard to ignore. The food of Pakistan isn’t entirely focused on meat, fish and dairy, but compared to other South Asian cuisines, the ingredients are much more dominant and there were times I felt left out. At family weddings, I had to skip courses – side dishes became my only option. While others celebrated, I felt disheartened that I couldn’t properly join in with the fun. I watched in envy as others sipped on lassis, a traditional yoghurt drink, at restaurant meals. I was embarrassed each time I had to ask a relative who had spent hours preparing a feast if their food was vegan friendly and felt a rising awkwardness as I whispered to explain that they’d accidentally added an ingredient that I couldn’t eat. But of course, it was my choice and I was unwilling to give it up – so instead, I set out to find ways to incorporate the taste of Pakistan into my diet. To my own shame, before going vegan I never really attempted to make the food of my culture – I didn’t think I could do it justice, so I didn’t try. But with the desire to remain connected, I started to try out the recipes I’d always enjoyed. Ingredients to traditional daals and aloo gobi became regulars on my shopping lists, and with the assistance of meat replacements, I began developing my own vegan versions of classics I thought no longer would be an option. Tofu replaced lamb in biryanis, I added fake chicken to karahi curries and even tried making a vegan mince kebab. The feedback from my family was positive – my relatives were just pleased I was trying to recreate the tastes of our homeland, even without the meat. Though there are still times I long for the comfort of the food I grew up eating, cooking my own take on national delicacies has meant in some ways, I’m more immersed in the flavours of Pakistan than ever before. Over time my family have adapted to my diet. They try to eat mainly vegan food when I visit, and we’ve found variations on recipes that we can all enjoy together, but I’m lucky that they’ve been so accommodating. My decision to go plant-based is definitely not the norm. The rise of veganism is largely connected with those who are white and privileged, and among British Pakistani families, it is basically unheard of. Our food is so intrinsically tied to our culture that making wholesale change is more difficult than a few little swaps and alternatives. It can mean an identity shift and with so many choices off the menu, I’ve had to work hard to find worthy substitutes to culinary favourites and ask more questions about my family history to not feel like I’ve abandoned my roots. It hasn’t always been easy – in my first year of going vegan, I slipped up a few times around my family, too tempted by things like buttered-smothered naan. On other occasions I just avoided asking questions about what ingredients went into certain meals – what you don’t know, doesn’t count, right? However, for people of colour especially, it’s important not to punish ourselves too much. Trying to balance veganism with culture is a difficult task. I’ll always feel guilty that I haven’t learnt my ancestors’ recipes and that, as a result, part of our family history might be lost with me. Yet if veganism has taught me anything about food, it is that old recipes are ever-evolving. I now hope that one day, it could be my vegan versions that will be passed down to the generations to come. Do you have a story you’d like to share? Get in touch by emailing jess.austin@metro.co.uk. Share your views in the comments below.
2021-10-31	05:30:19+00:00	https://www.theguardian.com/profile/funmi-fetto	The best new fragrances | Funmi Fetto	https://www.theguardian.com/lifeandstyle/2021/oct/31/the-best-new-fragrances	We are fast approaching that time of the year when we should all be getting our proverbials in gear and begin gift-planning. Scent is an easy place to start. I know giving fragrances, while not as unimaginative as vouchers, can seem lazy, but the fragrances on this page all tap into something that goes beyond “Oh, that smells nice!” Chloé’s new iteration of their modern classic scent is now vegan – as are all Aesop’s fragrances – and a significant portion of the packaging has been created with reclaimed materials. The launch of Jo Malone London’s English Pear and Freesia saw the brand supporting the National Trust to restore these fruit trees and plant hundreds more. Gabar is a brilliant new brand created by two Myanmar-born women, and a chunk of the proceeds will go towards rebuilding their home country. (Byredo also taps into its own founder’s heritage with Mumbai Noise.) Nue Co’s Mind Energy uses olfactory technology and upcycled extracts in an effort to boost mental agility; while Estée Lauder’s luxe scent range – there are eight in the collection – underwent a neuroscensorial test that showed it elicited a spectrum of positive moods, including confidence and happiness. And let’s not underestimate the power of optics: the pared-down cool of Loewe, the grown-up chic of Givenchy and the unapologetically floral Gucci Gardenia… Beautiful concoctions, yes, but even looking at the bottles will bring you joy. 1. Jo Malone London English Pear and Freesia Cologne £72, jomalone.co.uk 2. Loewe 7 EDT £64, libertylondon.com 3. Gabar No III Swim EDP £120, gabarmyanmar.com 4. Aesop Erémia EDP £140, aesop.com 5. Chloé Signature Naturelle EDP £55, selfridges.com 6. Byredo Mumbai Noise £122, byredo.com 7. The Nue Co Mind Energy from £20, thenueco.com 8. Givenchy Enflammé £175, givenchybeauty.com 9. Gucci Flora Gorgeous Gardenia EDP £55, idges.com 10. Estée Lauder Infinite Sky EDP £68, esteelauder.co.uk
2021-10-30	10:11:20+00:00		Celebrate World Vegan Day With Crumb Healthy Living	https://www.argophilia.com/news/celebrate-world-vegan-day-with-crumb-healthy-living/230219/	
2021-10-30	02:55:38+00:00		Riteish Deshmukh and Genelia’s Imagine Meats win big at PETA India Vegan Food Awards	https://dailytimes.com.pk/835349/riteish-deshmukh-and-genelias-imagine-meats-win-big-at-peta-india-vegan-food-awards/	Bollywood star couple Riteish and Genelia Deshmukh’s plant-based ‘chicken nuggets’, ‘the Happy Bugs’, have won the accolade for the Best Vegan Meat at the 2021 PETA India Vegan Food Awards. The Deshmukhs have been developing plant-based meat alternatives under their Imagine Meat label. PETA, a global animal rights organisation, has been campaigning for people to switch over to a vegan diet. The other winners ranged from Sofit soy milk to Haldiram’s ‘soan papdi’, besides a vegan cheese, mayonnaise and even ghee. The online store Vegan Dukan was also among the honourees. PETA announced the awards ahead of World Vegan Day and World Vegan Month. In a statement, it stated that 63 percent of Indians are inclined to replace meats with plant-based options and 75 percent are unable to digest milk properly. “From creamy, dairy-free chocolate ice-cream to meat-free chicken, all these innovative foods are making it easy for people to pamper their taste buds without harming animals,” says PETA India`s vegan foods and nutrition specialist, Dr Kiran Ahuja.
2021-10-29	19:41:28+00:00	Madelaine Vikse	5 best cruelty-free and vegan skincare brands	https://northernstar.info/89302/lifestyle/5-best-cruelty-free-and-vegan-skincare-brands/	An assortment of products by Vitamasques. Madelaine Vikse , Assistant Lifestyle EditorOctober 29, 2021 Since skin is the largest organ of the human body, it is essential to take care of it. When thinking about skin care, it can be for appearances, but it is also important for one’s health. In order to have a good skin care routine, it is crucial that the products being used are ethically made and of good quality ingredients. Here is a list of the top 5 best brands that are 100% cruelty-free and vegan. Pacifica sells skin care, makeup, perfume and hair care products. The brand carries many kinds of face wash, moisturizers and serums. “Many Pacifica skincare products contain antioxidant vitamins C and E. Antioxidants protect the skin against free radical damage,” according to The Derm Review. Pacifica’s best product is the Ceramide Extra Gentle Face Wash. This face wash leaves the skin feeling hydrated rather than dried out and is fragrance-free, which is perfect for those with sensitive skin. Truly has a wide range of skin care products for the whole body, and the brand is advertised a lot through Instagram. The most effective product from Truly has to be its CBD Jelly Anti-Blemish Facial Serum. Since everyone is wearing masks all the time due to COVID-19, a lot of people are experiencing and dealing with more acne, and this serum is incredible at preventing future breakouts. e.l.f Cosmetics has stepped up its skin care game within the past few years. The brand, which started with solely selling makeup, has affordable skin care products that are good quality, as well as being vegan and cruelty-free. The best product from e.l.f has to be the fragrance-free Holy Hydration! Face Cream, which is especially good for sensitive skin, as most fragrance-free products are. The Ordinary became very popular within the last two years, mainly due to its AHA 30% + BHA 2% Peeling Solution, but the brand’s best product is their Niacinamide 10% + Zinc 1%. Niacinamide is a form of vitamin B3 and can help treat acne, increase hydration and reduce redness and inflammation, according to DermNet NZ. There are so many different brands and kinds of face masks available to choose from, but the face masks from Vitamasques are next level. The face masks are fruit-themed and are incredibly hydrating. The brand, based in the United Kingdom, takes inspiration from K-beauty brands for its skin care products, according to the Vitamasques website. Weekly horoscopes: Oct. 27 – Nov. 2
2021-10-29	15:08:00+00:00	PR Newswire	Climate Change Improvements From Eating Less Meat	https://www.thestreet.com/press-releases/climate-change-improvements-from-eating-less-meat-15815792	 BETHESDA, Md., Oct. 29, 2021 /PRNewswire/ -- Not everyone needs to be a vegan to help combat climate change, but reducing meat consumption is both good for the planet and good for individual health, according to two national/international groups creating awareness of climate change impacts related to food consumption, as well as advocating for fair treatment of animals. While the intersection of climate impacts with eating meat at one time seemed tenuous, recent studies by climate scientists have made it abundantly clear that livestock production is a major contributor to world greenhouse gas emissions, emerging as a bigger threat than fossil fuel use for transportation. Also, the resources livestock farming take is not efficient to feed the world's population: animal agriculture uses 80% of global land (non-sea) but only provides 20% of the world's calories. The costs in food, water, land needed and land and climate degradation must be examined and understood, because scientists say it is not sustainable to continue deforesting our planet to produce limited food (meat) for rich nations, all the while creating huge greenhouse gas emissions, said Sustainable Earth Eating. According to University of Illinois scientists, livestock production, which includes food grown to feed livestock, creates 57 percent of global Greenhouse Gas Emissions (GGEs). Xiaoming Xu and Atul K. Jain are the two lead scientists who recently reported their findings in the academic Journal Nature Food (7/23/2021). Some industry leaders count it even higher. Pat Brown, CEO and founder of Impossible Foods, a plant-based meat company, has said livestock farming, including food to feed livestock, and related emissions from related transportation are 80% of global greenhouse gas emissions in a recent interview. Livestock production emits three gases toxic to our climate: carbon dioxide, methane and nitrous oxide. Methane is known to be 8 X as potent as carbon dioxide and stays in the atmosphere longer. Research shows that 15 X more protein can be produced on any given area of land with plants, rather than cows. (FAO UN) Most of members of FARM supporters stopped eating meat due to maltreatment and cruelty to animals, including factory farming, said Eric Lindstrom, Executive Director of Farm Animal Rights Movement. He said they have 1 million supporters worldwide. Some vegans stopped eating meat for health reasons, as the China Study, written by a doctor/son of a cattle rancher, found meat to be the cause of many heart problems that were abated or cured when meat and dairy were eliminated from patients' diet, according to Jane DeMarines, SEE executive director. Vegan Jane Goodall: window closing on climate change.Famed naturalist: "We've got the solutions to all these problems. There are amazing ways to restore fertility to overused farmland, also …banning the factory farming of animals. We know how to improve biodiversity and health of soil. We've got a window of time to do these…, but it's not a big window, and it is closing, "( Wash.Post. (10/26/21) Beatles icon Paul McCartney in 2009 started "Meatless Mondays," an effort that continues and also operates in the U.S. Ideas to chip away and reduce global meat eating is one of the fastest ways to reduce global greenhouse gas emissions environmentalists say. If everyone began to skip one day per week of eating meat, it would create a massive global effect. With better agriculture and replacing meat with plant-based proteins SEE and FARM believe we can back-up the measured hope that naturalists such as Jane Goodall express. Farm Animal Rights Movement (FARM) is a national nonprofit organization advocating for animal rights and veganism since 1976. For many years, FARM was the only national animal rights organization fighting for farmed animals. For more information, visit farmusa.org . PO Box 4064 | Ithaca NY 14852 | 888.FARMUSA Sustainable Earth Eating (SEE) www.sustainableeartheating.org was formed in 2021 to elevate awareness of meat production impacts on climate change and promote reduced meat consumption. SEE's founder is an 18-year vegetarian/vegan spurred by health consequences related to meat. Media Contact: Jane DeMarines 2029978785 322544@email4pr.com [1] Environmental Protection Agency. "Global Greenhouse Gas Emissions Data.". [2] Shindell, Drew T, et al: "Improved Attribution of Climate Forcing to Emissions." [3] Jacobson, Michael F. "Six Arguments for a Greener Diet: could Save Your Health and Environment. Washington,. [4] Hicks, Cheryl. "Give up dairy products to beat cancer." [5] "U.N. Launches International Year of Deserts and Desertification." UN News [6] Tabuchi, Hiroko,etc. "Amazon Deforestation, NYT 2/2017. View original content to download multimedia: https://www.prnewswire.com/news-releases/climate-change-improvements-from-eating-less-meat-301412022.html 
2021-10-29	14:30:15+00:00	Gayle Rouncivell	Young Lancaster University entrepreneur launches 'broken biscuit box' to mark World Vegan Day	https://www.thevisitor.co.uk/news/people/young-lancaster-university-entrepreneur-launches-broken-biscuit-box-to-mark-world-vegan-day-3437077	The green tech firm was set up by Lancaster University student James Eid back with the launch of the UK’s first ‘wonky bread’ box back in March. Earth & Wheat’s mission is to reduce food waste at the point of production and ‘rescue’ baked goods which would otherwise have been binned due to its odd size or unattractive appearance. Young entrepreneur James, 20, a fourth-generation baker at family-owned business, Signature Flatbreads, sold more than 10,000 bread box boxes in the first 12 weeks and has so far saved more than 200 tonnes of bread from going to waste. Now Earth & Launch is preparing to add to its product range with the launch of its new broken biscuit box on the same day World Vegan Day - an annual event celebrated by vegans around the world. The launch also coincides with COP26 – the UN Climate Change Conference being held in Glasgow from October 31 to November 12. The 1.8kg box will contain a mixed selection of six types of broken sweet and savoury biscuits including cookies, gem, gingerbread, crackers and water biscuits. James said: “I’m very excited about the launch of our new Earth & Wheat vegan wonky broken biscuit box as we continue in our fight to reduce food waste and save the planet. “Around 16 per cent of food wasted is at the point of production and our mission is to to end food waste at the production stage before it even reaches the supermarket shelves. It is this invisible waste that we don’t see every day that we want to stop. “We started with the launch of our ‘wonky’ bread box earlier this year and now the time is right to introduce our new wonky broken biscuit box as part of the next step in Earth & Wheat’s journey to reduce food waste. “Each biscuit will be deemed to be imperfect that it cannot be sold in supermarkets as normal, such as it will have a wonky shape, an odd pattern, or a crumbled corner. “But Earth & Wheat biscuits will still taste just as delicious as they would normally and will be fun for all the family to enjoy. The best part of it is our customers will be doing their bit for the environment by reducing food waste.” As with the bread boxes, customers will be able to subscribe to the Earth & Wheat at biscuit box on a weekly, fortnightly, every three weeks, or monthly basis for £7.99 including delivery. World Vegan Day was established in 1994 to commemorate the 50th anniversary of the founding of The Vegan Society and the coining of the terms, ‘vegan’ and ‘veganism’.
2021-10-29	12:36:23+00:00	https://www.facebook.com/CyprusMail	Animal Party hosting vegan event in central Nicosia on Sunday	https://cyprus-mail.com/2021/10/29/animal-party-hosting-vegan-event-in-central-nicosia-on-sunday/	The Animal Party on Friday invited consumers to question behaviours responsible for the abuse of millions of animals and try vegan foods this weekend. In a statement announcing the coming event marking World Vegan Day, the party invited the public to “do something different” this Sunday, “even out of curiosity”. People will have the opportunity to try vegan foods, learn vegan recipes and products and get informed about veganism at 11am on Ledras and Onasagorou pedestrian streets, the party said. The open invitation included the president, speaker of parliament, ministers, party leaders, house representatives and everyone who lives and works in the country. Referring to people who eat meat, the party called on consumers to “challenge, reconsider and reject” behaviours that they used to consider “natural” and “necessary” but which are responsible for the “abuse and misery of millions of animals on our planet”. From a young age, humans are taught that animals exist to serve humans, without considering what that really means, and we continue to exterminate them en masse every year, the party said. Consumption of animal products is based on violence and animal abuse, while it negatively affects the environment and burdens the quality of human life, it added. According to (People for the Ethical Treatment of Animals) PETA “globally, animal agriculture is responsible for more greenhouse gases than all the world’s transportation systems combined”. The coronavirus pandemic, which the entire humanity is still fighting today, is the result of human manipulation of other species, the party said citing scientific findings to date. “So, we change our eating habits and by choosing vegetarianism we will be able to reduce environmental damage and eliminate bad habits that burden human, animals, and nature,” the announcement added. The chairman of the environment committee and leader of the Green party Charalambos Theopemptou will address the event. For more information contact 70078080.
2021-10-29	03:27:54+00:00		Western Market Food Hall Brings New Food Offerings to Foggy Bottom Community	https://thehoya.com/western-market-food-hall-brings-new-food-offerings-to-foggy-bottom-community/	October 28, 2021 by Eli Blumenfeld Leave a Comment Four new establishments have opened in the Western Market Food Hall since September as part of the building’s continued redevelopment and renovation. Western Market, a public food space located on The George Washington University’s (GWU) main campus, opened in late September with the four offerings: RAWish, a vegan vendor; Roaming Rooster, a fried chicken restaurant; Capo Deli, a sandwich place; and Mason’s Famous Lobster Rolls, a lobster and seafood shop. The market additionally plans to open four stalls later this fall, with four more coming in the winter. According to Tim Hill, vice president of investments for MidAtlantic Realty Partners (MRP) and the developer for Western Market, the combination of different types of vendors was important for the vision for the space. “We wanted a really eclectic mix of vendors, in terms of price point, regions and health,” Hill said in a phone interview with The Hoya. “We really thought carefully about getting the balance right so that we have a really healthy blend here.” Housed in a market building constructed in 1802, Western Market features patio seating, socially distanced seating options and large open spaces. Michael Habtemariam, co-owner of Roaming Rooster, chose to open his fourth location in Western Market because of past success in the area. “We started out as a food truck, and our food truck used to come by GW and used to do really, really good,” Habtemariam said in a phone interview with The Hoya. “A lot of the students liked our food, so I think it’s a prime location for us.” According to James Yarborough, co-owner of RAWish, the students and The George Washington University Hospital community will enjoy the type of food that RAWish offers. “I think particularly with the campus community, the younger population is tending to focus on healthy eating in general, and plant based makes up a decent percentage of that,” Yarborough said in a phone interview with The Hoya. “Also being near a hospital, that tends to have a population that wants to eat healthy.” Aside from various food options, Western Market hopes to offer other community bonding activities like yoga classes and wine tastings, according to Hill. “We are focused on getting the rest of the retailers that we’ve leased to open,” Hill said. “We’re also continuously filling out our events calendar and creating different ways to bring people to the market to build a community here.” Recent events offered by Western Market include movie nights, live music on the patio, yoga and wine nights. All events were open to the public, though visitors were required to comply with local COVID-19 guidelines, according to Western Market’s website. With all the food options and events at Western Market, Habtemariam hopes that students will continue to support Western Market as the food market continues to expand. “I think it’ll be a really good spot for students to come out and try a different variety of foods,” Habtemariam said. “Once everything is open, it is going to be a good deal.” Upcoming openings this fall and winter include Greek street food restaurant Alitiko, Guatemalan street food restaurant Nim Ali, Venezuelan restaurant Arepa Zone, Southeast Asian restaurant Bandoola Bowl and Japanese restaurant Sushi Onkei. Although Western Market is located in Foggy Bottom, it is a space where people from all over the District, including Georgetown University, can gather, according to Yarborough. “We’re really looking forward to partnering with the Georgetown community,” Yarborough said. “We’re not that far from Georgetown, so we hope to get kids who come over for a break from their usual dining options.” According to Hill, Western Market provides delicious food options and a perfect setting to build community in Foggy Bottom. “We want a group of customers to come, and everyone can get something that they love and then meet up at a table, hang out and spend the afternoon there,” Hill said. 
2021-10-29	02:11:41+00:00	Cheyanne M. Daniels	Chicago-based vegan brand looks to ‘feed the world’ with new product	https://chicago.suntimes.com/2021/10/28/22751511/natures-fynd-lightfoot-world-business-chicago-back-of-the-yards-vegan-vegetarian	Nature’s Fynd announced their partnership with grocery chain Mariano’s on Thursday, promising healthier, less-processed vegan options for shoppers. The Union Stockyards on the South Side had defined Chicago as the “hog butcher to the world.” Now, 50 years after its closing, the “Yards” will once again be a manufacturing haven — of a fungi-based protein. The protein Fy was created by Nature’s Fynd. And on Thursday, the company announced it’s bringing the product to Chicagoans in a partnership with Mariano’s grocery stores, along with a 200,000-foot addition of manufacturing space to come in 2022. “It’s great to be part of this revival of food in Chicago, to bring new technology literally where the technology was, and to do that in a way that really uses a fraction of the resources,” said Thomas Jonas, Nature’s Fynd co-founder and CEO. For Jonas, Nature’s Fynd’s origins are part of what distinguishes its breakfast sandwiches and dairy-free products from plant-based protein sources. “We started as a research project for NASA on extreme quality of life,” said Jonas. “The goal was to understand what life on moons of Saturn could look like. Trying to figure that out took us on an exploration journey on the acidic volcanic springs of Yellowstone where we discovered a remarkable new microorganism.” That microorganism led to the invention of a new fermentation process of extracting the protein for Nature’s Fynd’s products. Jonas said this also helps ease concerns in the vegetarian community about over-processed products. For Nature’s Fynd, the company simply extracts the protein from the source and cleans it for use in their foods. “If you pitch this as a movie theme, people would say, ‘No, no that’s too far,’” said Lightfoot, garnering chuckles from Nature’s Fynd employees gathered Thursday. Lightfoot had the chance to taste some of the Fy-based breakfast sandwiches and chocolate mousse at the facility Thursday. “It tastes like a regular breakfast sandwich!” Lightfoot said. As Nature’s Fynd prepares to expand beyond manufacturing and into stores, it’s also preparing to open its additional facility in Back of the Yards. The location at 2075 W. 43rd St. will be an expanded manufacturing and innovation facility, according to Nature’s Fynd’s chief marketing officer, Karuna Rawal, with operations starting in 2022. “This is an expansion of Nature’s Fynd’s commitment and investment in Chicago, especially on our South Side,” said Lightfoot. “As we all know, Chicago’s former Union Stockyards . . . was the epicenter of the 20th century meatpacking industry. Through this innovation and a bit of irony, I must say [Nature’s Fynd is] reinventing the future of food and reclaiming the old stockyards as a future world leader in proteins.” They’re also creating an additional 200 jobs at the new facility — something Lightfoot said is imperative for post-pandemic economic recovery. “We believe in the power of scientific curiosity and human ingenuity,” Jonas said. “And because here in Chicago we make no little plans, we believe with this tiny microbe we can feed the whole world.” The Nature’s Fynd brand is also sold in Berkeley, Calif., and Mariano’s stores in Chicago will start selling it next week. Know about breaking news as it happens. We follow the stories and update you as they develop. Check your inbox for a welcome email. After falling behind 4-0 on a grand slam by Adam Duvall in the first inning, the Astros turned on the offense in a 9-5 victory. But a UAW strike that began Oct. 14 will continue — and details of the proposed contract will not be released — while workers study the terms of the agreement in advance of a vote. Gunfire erupted early Sunday near a DJ booth that was set up in the backyard of a home, authorities said. Witnesses reported that two gunmen opened fire "from an elevated position on a porch looking down over the crowd" of more than 200 people. Oneta Sampson Carney, 58, allegedly opened fire Saturday evening when a team of thieves stole her Toyota 4Runner as she and her husband were loading groceries in a Sam’s Club parking lot. As two justice-seeking groups of mostly Latino and Black parents memorialize their children for Dia de Los Muertos, they bemoan the lack of support from police, prosecutors and politicians: "The system has failed us in so many ways."
