Term	Instance	Annotation
meat	On the other extreme, Onegreenplanet.org, referring to “recent studies,” claims “30 percent of Americans are not only leaving meat off their plates but also seeking out plant-based meat alternatives,” a claim that could not be verified.	
meat	According to The Vegan Society, 1 in 5 Brits cut down on meat consumption during the COVID-19 pandemic to date.	
meat	Veganism is stronger than ever, as you can see by the number of countries whose cuisine traditionally is greatly meat- and dairy-based seeing a big rise in veganism.”	
meat	In May, a report—compiled by trade group Plant Based Foods Association and market research company SPINS—found sales of plant-based foods in the US increased by 90 percent during the height of pandemic-buying in mid-March when compared to last year’s sales during that time period, with sales of plant-based meat spiking by 148 percent.	
meat	Why is giving up meat so popular?	
meat	Recently, a January poll by Gallup found that 31% of non-white Americans had reduced their meat consumption in the past year, compared to only 19% of white Americans.	
meat	A recent study involving 48,000 people over 18 years compared the health of meat-eaters, pescatarians - who eat fish and dairy but not meat - and vegetarians, including some vegans.	
meat	Dick Gregory, a famed civil rights activist and comedian who marched alongside Martin Luther King, gave up meat in 1965 and later became a strict vegan.	
meat	I challenge you to find one vegan who has never taken medication containing gelatin, fed meat to a companion animal, purchased a work uniform that contained wool, killed a bed bug, consumed sugar that was filtered through bone char, or something else along those lines.	
meat	If land currently used to produce meat and dairy was returned to its native ecosystems, it could remove the same amount of carbon dioxide (CO2) as was produced by burning fossil fuels over the last 16 years.	
meat	Many who call for meat consumption to be reduced cite their methane emissions, but this new study shows how going meat-free can hugely impact CO2 emissions, too.	
meat	In the study, the researchers saw three possible scenarios for 2050: business-as-usual, where meat consumption remains on its current course of increase; a healthier diet with 70 per cent meat reduction; and a vegan diet.	
meat	If meat consumption follows current economic trends, the business-as-usual diet would see further clearing of ecosystems to make more land space for animal agriculture.	
meat	Whereas the healthier, reduced-meat diet could remove 332 gigatonnes of CO2 – equal to the amount of CO2 produced over the last nine years by burning fossil fuels.	
meat	“The greatest potential for forest regrowth, and the climate benefits it entails, exists in high- and upper-middle income countries, places where scaling back on land-hungry meat and dairy would have relatively minor impacts on food security,” said Hayek.	
meat	No meat, milk or even eggs?	
meat	Keeping aside food habits and choices made because of religious and traditional inclinations, several vilify meat consumption and say it’s not a healthy lifestyle choice.	
meat	“If the production of the meat used antibiotics, it’s unhealthy to consume.	
meat	When the meat is consumed the right way, it doesn’t create side-effects,” she says.	
meat	The best way to eat meat would be to steam or grill it so that you don’t add a lot of fat, and then add gravy which is not too calorie-rich,” she believes.	
meat	Consuming too much meat can be bad for the body.	
meat	Of late, consumption of meat has been connected to many gastrointestinal cancers too, which could be another reason to avoid meat.	
