Term	Instance	Annotation
protein	It cautioned that vegans need to be careful to plan their diet to get adequate protein and calcium through plant-based sources, and may need to take supplements to guard against B12 and iron deficiencies.	
protein	“For proteins, one can opt for almond or soya milk, and include sprouts, nuts and dals in the diet.”	
protein	You’ll undoubtedly save money not buying meat –– it’s estimated that one fillet of chicken breast is $5 per pound and has about 24 grams of protein per serving, but a can of black beans typically costs around a dollar for the same amount of protein.	
protein	As athletes often rely on a protein-heavy diet, the myth that high-level sportspeople need to consume animal products to succeed has persisted for decades.	
protein	“The left kidney was overworking to process proteins.”	
protein	His diet, therefore, needs to contain all the essential proteins for muscle recovery, along with enough calories to maintain energy levels throughout the week.	
protein	Along with snacks throughout the day, Saúl’s dinners are predominantly divided neatly into carbohydrates, proteins and fats - to ensure the right balance of nutrients.	
protein	These champion players report that eating a plant-based diet increases energy levels, provides more than enough clean protein to refuel and rebuild, reduces inflammation, and improves recovery time.	
protein	In the nearly one year since The Game Changers was released last September and became one of the most-watched documentaries, and showed that some of the world's strongest and accomplished athletes don't need meat or dairy to succeed, more and more players are limiting their animal protein intake and are going all or mostly plant-based.	
protein	Blanco reports that a vegan diet helps her stay strong and she enjoys eating different forms of vegan protein like nuts, seeds, beans, and legumes.	
protein	The seven-time Grand Slam singles champion recovers faster on a plant-based diet now, compared to how she felt back when she ate animal protein.	
protein	He adds: "People often ask, 'How do you get your protein?'	
protein	“I like to make sure I have three different types of protein in there.	
protein	“I also love to add Beyond Meat for more flavor, which is a great source of plant protein as well.	
protein	Bahoumiam's diet consists of a dairy-free shake for breakfast with 8 grams of protein and 0 carbohydrates.	
protein	He normally eats 250 grams of carbs and 90 grams of protein just for lunch.	
protein	He adds bananas, frozen pineapple slices, or mangoes, brown rice and pea protein, (for protein) to rebuild what's lost in training.	
protein	Morgan aims to eat 90 grams of plant-based protein daily to stay fit and lean, especially for her workouts and on the field.	
protein	But now she enjoys oatmeal with nut butter and berries, smoothies, rice, quinoa, veggies, black beans, protein shakes, Mediterranean food, Impossible burgers, Mexican beans, and sauteed veggie burritos, she told USA Today.	
protein	North America Potato Protein Market is projected to grow at a CAGR of 6.07% during the forecast period 2020-2025The potato protein market is a part of the plant protein sector, with the latter growing all over the world.	
protein	The reason for the market's growth is intolerance toward animal protein, the new trend toward veganism, and innovations from the manufacturer's end regarding the extraction technique and applications of potato protein.	
protein	Sports nutrition is expanding globally, and the increased application of potato protein in sports drinks and weight management supplements is driving the market.	
protein	The awareness among consumers about potato protein is still quite low.	
