,Unnamed: 0,Term,Instance,Trans,Annotation
0,0,Donald,"La intensa rivalidad del Partido Republicano, entre Donald Trump y Ron DeSantis, entra a una nueva fase más volá… https://t.co/zmCJ51Jd3C","The intense rivalry of the Republican Party, between Donald Trump and Ron DeSantis, enters a new, more volatile phase… https://t.co/zmCJ51Jd3C",0
1,1,Donald,"🇺🇸 Ficha astrológica de Donald #Trump, expresidente de Estados Unidos.","🇺🇸 Astrological record of Donald #Trump, former president of the United States.",0
2,2,Donald,@DonaldTrump anuncia que competirá nueva vez por la candidatura presidencial de #USA.… https://t.co/68s6zPALNA,@DonaldTrump announces that he will compete again for the #USA presidential candidacy.… https://t.co/68s6zPALNA,0
3,3,Donald,"Yo estoy preparado”, lanzó Donald #Trump ante las decenas de seguidores que asistieron a su man… https://t.co/MnWzUFjCNW","I'm ready,"" Donald #Trump launched before the dozens of followers who attended his man… https://t.co/MnWzUFjCNW",0
4,4,Donald,Vean y escuchen a #DonaldTrump.,Watch and listen to #DonaldTrump.,1
5,5,Donald,#DonaldTrump2024 #Trump… https://t.co/oOQ0WxMKtN,#DonaldTrump2024 #Trump… https://t.co/oOQ0WxMKtN,1
6,6,Donald,#EEUU El expresidente de Estados Unidos Donald #Trump no contará con su hija #Ivanka en el equipo de su campaña par… https://t.co/7YvyOECAUD,#USA The former president of the United States Donald #Trump will not have his daughter #Ivanka in his campaign team for… https://t.co/7YvyOECAUD,-1
7,7,Donald,"El ex presidente de #EEUU🇺🇸, Donald #Trump, anunció que volverá a competir en las elecciones de 2024.","The former president of #USA🇺🇸, Donald #Trump, announced that he will compete again in the 2024 elections.",0
8,8,Donald,¿Será Donald Trump castigado por estar involucrado en el asalto al Capitolio del 6 de enero de 2022? 👀🇺🇸.,"Will Donald Trump be punished for being involved in the assault on the Capitol on January 6, 2022? 👀🇺🇸.",-1
9,9,Donald,🇺🇸 Donald Trump: “Me postulo porque creo que el mundo aún no ha podido ver la verdadera gloria de lo que esta nació… https://t.co/IQJO322r95,🇺🇸 Donald Trump: “I am running because I believe the world has not yet been able to see the true glory of what this was born… https://t.co/IQJO322r95,1
10,10,Donald,🇺🇸 Joe Biden reaccionó de manera negativa al anuncio de Donald Trump sobre su candidatura presidencial.,🇺🇸 Joe Biden reacted negatively to Donald Trump's announcement about his presidential candidacy.,0
11,11,Donald,🇺🇸 Donald Trump habló por más de una hora a una audiencia reunida en su mansión en Mar-a-Lago.,🇺🇸 Donald Trump spoke for more than an hour to an audience gathered at his mansion in Mar-a-Lago.,0
12,12,Donald,Dura reacción de los #medios de #comunicación al anuncio del expresidente Donald #Trump de que volverá a postularse… https://t.co/9hKngXFQWc,Harsh reaction from the #media #media to former President Donald #Trump's announcement that he will run again… https://t.co/9hKngXFQWc,0
13,13,Donald,Donald Trump promete un progreso económico y la caída de la inflación en EE.UU en su nueva candidatura.,Donald Trump promises economic progress and a drop in inflation in the US in his new candidacy.,1
14,14,Donald,#ACTUALIDAD | AMLO sobre Donald Trump: “Es buena persona y lo respeto”,"#CURRENT | AMLO on Donald Trump: ""He is a good person and I respect him""",1
15,15,Donald,Donald Trump promete un progreso económico y la caída de la inflación en EE.UU en su nueva candidatura.,Donald Trump promises economic progress and a drop in inflation in the US in his new candidacy.,1
16,16,Donald,Donald Trump lanzó su candidatura para volver a la presidencia en 2024,Donald Trump launched his candidacy to return to the presidency in 2024,0
17,17,Donald,Donald Trump califica a los latinos como gente trabajadora y elogia lo que se ha hecho en Texas y en Florida.,Donald Trump describes Latinos as working people and praises what has been done in Texas and Florida.,1
18,18,Donald,"🇺🇸 🗳️ ¡Está de vuelta! 😒 El expresidente de Estados Unidos, Donald Trump, anunció que irá por la presidencia del pa… https://t.co/4JJIVWTITT","🇺🇸 🗳️ It's back! 😒 The former president of the United States, Donald Trump, announced that he will run for the presidency of the pa… https://t.co/4JJIVWTITT",0
19,19,Donald,Donald Trump califica a los latinos como gente trabajadora y elogia lo que se ha hecho en Texas y en Florida.,Donald Trump describes Latinos as working people and praises what has been done in Texas and Florida.,1
20,20,Donald,#ultimahora | Se confirma que Donald Trump luchara nuevamente por la candidatura por el Partido Republicano en vist… https://t.co/4rG3dpBM5Y,#last hour | It is confirmed that Donald Trump will fight again for the candidacy for the Republican Party in vis… https://t.co/4rG3dpBM5Y,-1
21,21,Donald,🇺🇸 Donald Trump afirmó que tenía la autoridad de decidir cuáles documentos de la Casa Blanca eran personales y cuál… https://t.co/XODi3nkHkw,🇺🇸 Donald Trump claimed he had the authority to decide which White House documents were personal and which… https://t.co/XODi3nkHkw,-1
22,22,Donald,"Donald Trump, expresidente de Estados Unidos, anunció que volverá a competir por la presidencia del país en las ele… https://t.co/YtVQ8bqDj9","Donald Trump, former president of the United States, announced that he will once again compete for the presidency of the country in the elections… https://t.co/YtVQ8bqDj9",0
23,23,Donald,Donald Trump presentó los documentos para hacer oficial su candidatura para la Casa Blanca en 2024.,Donald Trump presented the documents to make his candidacy for the White House official in 2024.,-1
24,24,Donald,Donald #Trump es el primero en lan… https://t.co/eFDfDg3ybC,Donald #Trump is first on lan… https://t.co/eFDfDg3ybC,0
25,25,Donald,Donald Trump ex Presidente de EUA dice que está preparado para lanzarse a la candidatura a las elec… https://t.co/Ml6CAKDqZE,Donald Trump former US President says he is ready to run for election… https://t.co/Ml6CAKDqZE,0
26,26,Donald,"🇲🇽🇺🇸 Donald #Trump dice de #AMLO: ""es un gran caballero, pero socialista"" y así responde Andrés Manuel López Obrado… https://t.co/Tqt7CXAHpx","🇲🇽🇺🇸 Donald #Trump says of #AMLO: ""he is a great gentleman, but a socialist"" and this is how Andrés Manuel López Obrado responds… https://t.co/Tqt7CXAHpx",1
27,27,Donald,Donald Trump presentó los documentos para hacer oficial su candidatura para la Casa Blanca en 2024.,Donald Trump presented the documents to make his candidacy for the White House official in 2024.,0
28,28,Donald,Donald Trump anuncia su candidatura presidencial para el 2024.,Donald Trump announces his presidential candidacy for 2024.,0
29,29,Donald,Donald Trump anuncia su candidatura presidencial para el 2024.,Donald Trump announces his presidential candidacy for 2024.,0
30,30,Donald,Donald Trump anunció su candidatura presidencial para el 2024.,Donald Trump announced his presidential candidacy for 2024.,0
31,31,Donald,“Es buena persona y lo respeto”: #AMLO sobre #Trump | #DonaldTrump #Veracruz #Xalapa #FormatoSiete https://t.co/xKs0lBqH4s,"""He is a good person and I respect him"": #AMLO on #Trump | #DonaldTrump #Veracruz #Xalapa #FormatoSiete https://t.co/xKs0lBqH4s",1
32,32,Donald,Donald Trump anunció su candidatura presidencial para el 2024.,Donald Trump announced his presidential candidacy for 2024.,0
33,33,Donald,#EEUU | Donald #Trump oficializó su candidatura a la presidencia de #EEUU para las elecciones de 2024.,#USA | Donald #Trump formalized his candidacy for the #USA presidency for the 2024 elections.,0
34,34,Donald,#EEUU El expresidente de Estados Unidos Donald #Trump no contará con su hija #Ivanka en el equipo de su campaña par… https://t.co/A9SyOzFZFC,#USA The former president of the United States Donald #Trump will not have his daughter #Ivanka in his campaign team for… https://t.co/A9SyOzFZFC,0
35,35,Donald,"Durante una conferencia de prensa en Mar-A-Lago, Donald Trump expresó su deseo de postularse como candidato a la Pr… https://t.co/d5R4jb1xaZ","During a press conference at Mar-A-Lago, Donald Trump expressed his desire to run as a candidate for Pr… https://t.co/d5R4jb1xaZ",0
36,36,Donald,"Durante una conferencia de prensa en Mar-A-Lago, Donald Trump expresó su deseo de postularse como candidato a la Pr… https://t.co/gnwqrbKpkV","During a press conference at Mar-A-Lago, Donald Trump expressed his desire to run as a candidate for Pr… https://t.co/gnwqrbKpkV",0
37,37,Donald,Joe Biden se presentará a las elecciones de 2024 para que Donald Trump no llegue a Casa Blanca otra vez.,Joe Biden will run in the 2024 elections so that Donald Trump does not reach the White House again.,0
38,38,Donald,"Candidata de Donald Trump para la gobernación de Arizona, pierde ante la demócrata Katie Hobbs.","Donald Trump's candidate for governor of Arizona, loses to Democrat Katie Hobbs.",0
39,39,Donald,Donald #Trump y Joe #Biden ante la #amenaza #china https://t.co/sixJFbN65y,Donald #Trump and Joe #Biden in the face of the #Chinese #threat https://t.co/sixJFbN65y,0
40,40,Donald,"Donald Trump: ""¿Están listos?","Donald Trump: ""Are you ready?",1
41,41,Donald,A ANDRÉS MANUEL LÓPEZ OBRADOR,,0
42,42,Donald,#EEUU | Donald Trump anuncia su candidatura a la Casa Blanca en 2024.,#USA | Donald Trump announces his candidacy for the White House in 2024.,0
43,43,Donald,Donald Trump anuncia su candidatura a elecciones presidenciales en EE.UU.,Donald Trump announces his candidacy for the US presidential elections.,0
44,44,Donald,Donald Trump anuncia su candidatura a elecciones presidenciales en EE.UU.,Donald Trump announces his candidacy for the US presidential elections.,0
45,45,Donald,"El gobernador de Florida, Ron DeSantis, desestimó la opinión del expresidente Donald Trump 🇺🇸 ➡️ Si deseas más info… https://t.co/5S8sSn9477",Florida Governor Ron DeSantis dismissed former President Donald Trump's opinion 🇺🇸 ➡️ If you want more info… https://t.co/5S8sSn9477,-1
46,46,Donald,#Internacional #Política 👥👥Donald #Trump se postula para las elecciones presidenciales en 2024.,#International #Politics 👥👥Donald #Trump is running for the presidential election in 2024.,0
47,47,Donald,#Internacional #Política 👥👥Donald #Trump se postula para las elecciones presidenciales en 2024.,#International #Politics 👥👥Donald #Trump is running for the presidential election in 2024.,0
48,48,Donald,"Donald Trump: ""¿Están listos?","Donald Trump: ""Are you ready?",1
49,49,Donald,El expresidente estadounidense Donald #Trump anunció oficialmente que competirá por la candidatura del Partido Repu… https://t.co/BNDNEDlIyf,Former US President Donald #Trump officially announced that he will run for the Republican Party nomination… https://t.co/BNDNEDlIyf,0
50,50,Donald,Donald J. Trump anuncia oficialmente su candidatura presidencial para el 2024.,Donald J. Trump officially announces his 2024 presidential candidacy.,0
51,51,Donald,Donald Trump lanza nueva campaña por la presidencia de EEUU.,Donald Trump launches a new campaign for the US presidency.,0
52,52,Donald,Donald Trump es candidato oficial a las presidenciales de 2024 https://t.co/UYS6VN8Ajv #Trump #EEUU #Elecciones… https://t.co/6rwbyFT3vq,Donald Trump is the official candidate for the 2024 presidential elections https://t.co/UYS6VN8Ajv #Trump #USA #Elections… https://t.co/6rwbyFT3vq,0
53,53,Donald,🇺🇸📢🗳️Anuncia Donald #Trump su tercera candidatura a la #presidencia de #EstadosUnidos #USA #America #elecciones… https://t.co/pPN2YJfLXF,🇺🇸📢🗳️ Donald #Trump announces his third candidacy for the #presidency of the #United States #USA #America #elections… https://t.co/pPN2YJfLXF,0
54,54,Donald,#EEUU | El expresidente estadounidense Donald #Trump anunció oficialmente que competirá por la candidatura del Part… https://t.co/woJkjdaPY7,#USA | Former US President Donald #Trump officially announced that he will compete for the Party's candidacy… https://t.co/woJkjdaPY7,0
55,55,Donald,Donald J. Trump anuncia oficialmente su candidatura presidencial para el 2024.,Donald J. Trump officially announces his 2024 presidential candidacy.,0
56,56,Donald,#EEUU | El expresidente estadounidense Donald #Trump anunció oficialmente que competirá por la candidatura del Part… https://t.co/sc6NQBl3YE,#USA | Former US President Donald #Trump officially announced that he will compete for the Party's candidacy… https://t.co/sc6NQBl3YE,0
57,57,Donald,"Por 3ra ocasión, #DonaldTrump anuncia su candidatura a la Presidencia de #EstadosUnidos para 2024.","For the 3rd time, #DonaldTrump announces his candidacy for the Presidency of the #United States for 2024.",0
58,58,Donald,"Este martes, el ex presidente Donald #Trump anunció su tercera campaña para conseguir su candidatura presidencial e… https://t.co/N16WcMl19q","This Tuesday, former President Donald #Trump announced his third campaign to win his presidential candidacy and… https://t.co/N16WcMl19q",0
59,59,Donald,Donald Trump buscará igualar un récord casi imposible.,Donald Trump will seek to equal an almost impossible record.,-1
60,60,Donald,DeSantis asegura que los recientes “ataques” del expresidente de Estados Unidos Donald Trump son solo “ruidos”.🇺🇲,"DeSantis says that the recent ""attacks"" by former US President Donald Trump are just ""noise"".🇺🇲",-1
61,61,Donald,ESTADOS UNIDOS | Finalmente Donald Trump anunció su candidatura a la presidencia para el 2024  #EstadosUnidos… https://t.co/XSFT7oDepO,UNITED STATES | Finally Donald Trump announced his candidacy for the presidency for 2024 #United States… https://t.co/XSFT7oDepO,1
62,62,Donald,Donald Trump anuncia que irá por la presidencia de EE.UU.,Donald Trump announces that he will run for the US presidency.,0
63,63,Donald,"El expresidente, Donald Trump, apuesta por una nueva candidatura con la que asegura… https://t.co/D7I0QqpTg8","The former president, Donald Trump, is committed to a new candidacy with which he assures… https://t.co/D7I0QqpTg8",1
64,64,Donald,DeSantis asegura que los recientes “ataques” del expresidente de Estados Unidos Donald Trump son solo “ruidos”.🇺🇲,"DeSantis says that the recent ""attacks"" by former US President Donald Trump are just ""noise"".🇺🇲",-1
65,65,Donald,Donald Trump presentó su candidatura a las presidenciales de 2024.… https://t.co/NXKWm8qDY3,Donald Trump presented his candidacy for the 2024 presidential elections.… https://t.co/NXKWm8qDY3,0
66,66,Donald,🇺🇸 Donald Trump: “Me postulo porque creo que el mundo aún no ha podido ver la verdadera gloria de lo que esta nació… https://t.co/KZxwFtKZoV,🇺🇸 Donald Trump: “I am running because I believe the world has not yet been able to see the true glory of what this was born… https://t.co/KZxwFtKZoV,1
67,67,Donald,🇺🇸 Joe Biden reaccionó de manera negativa al anuncio de Donald Trump sobre su candidatura presidencial.,🇺🇸 Joe Biden reacted negatively to Donald Trump's announcement about his presidential candidacy.,-1
68,68,Donald,🇺🇸 Donald Trump habló por más de una hora a una audiencia reunida en su mansión en Mar-a-Lago.,🇺🇸 Donald Trump spoke for more than an hour to an audience gathered at his mansion in Mar-a-Lago.,0
69,69,Donald,#Noticias #Internacional #Trump #EstadosUnidos 🇺🇸🗳 Donald Trump anuncia su candidatura a las elecciones presidencia… https://t.co/gEBxH0NKux,#News #International #Trump #United States 🇺🇸🗳 Donald Trump announces his candidacy for the presidential elections… https://t.co/gEBxH0NKux,0
70,70,Donald,Donald Trump confirmó en Florida su tercera carrera presidencial.,Donald Trump confirmed his third presidential run in Florida.,0
71,71,Donald,"El expresidente de los Estados Unidos, Donald #Trump anunció ayer en Florida que se presen… https://t.co/yd5zCGXZ2V","The former president of the United States, Donald #Trump announced yesterday in Florida that they will present… https://t.co/yd5zCGXZ2V",0
72,72,Donald,#Estema hoy en @AnguloNTN24 con @Ruthdelsalto desde #Qatar | De nuevo al ruedo: #DonaldTrump  anuncia sus aspiracio… https://t.co/80xeq753gM,#Estema today at @AnguloNTN24 with @Ruthdelsalto from #Qatar | Back in the ring: #DonaldTrump announces his aspiration… https://t.co/80xeq753gM,0
