,Unnamed: 0,Term,Instance,Trans,Annotation
0,0,Trump,Facebook no planea por ahora restablecer cuenta de Trump - https://t.co/04GQO7F9O9 #EVNews #Facebook #Trump #tecnologia,Facebook does not plan for now to reinstate Trump's account - https://t.co/04GQO7F9O9 #EVNews #Facebook #Trump #technology,0
1,1,Trump,Esta será la razón por la que #AMLO baja la cabeza ante #Trump ? https://t.co/eVNmb8jZCx,This will be the reason why #AMLO lowers his head before #Trump? https://t.co/eVNmb8jZCx,-1
2,2,Trump,"La intensa rivalidad del Partido Republicano, entre Donald Trump y Ron DeSantis, entra a una nueva fase más volá… https://t.co/zmCJ51Jd3C","The intense rivalry of the Republican Party, between Donald Trump and Ron DeSantis, enters a new, more volatile phase… https://t.co/zmCJ51Jd3C",-1
3,3,Trump,¿Quiénes son los rivales de #Trump para 2024? -  https://t.co/Qi99iZRcve,Who are #Trump's rivals for 2024? - https://t.co/Qi99iZRcve,-1
4,4,Trump,"“Más que nada, el objetivo inmediato de #Trump últimamente ha sido despejar el campo de competidores y sentar las b… https://t.co/aTqI3fCKwm","“More than anything, #Trump's immediate goal of late has been to clear the field of competitors and lay the groundwork… https://t.co/aTqI3fCKwm",-1
5,5,Trump,🇺🇸 | #DeSantis respondió le respondió a #Trump diciendo que está centrado en liderar su estado.,🇺🇸 | #DeSantis responded to #Trump by saying that he is focused on leading his state.,-1
6,6,Trump,#Trump trata de zafarse de problemas legales y los malos resultados electorale… https://t.co/FTLmk5zOZe,#Trump tries to get out of legal problems and bad election results… https://t.co/FTLmk5zOZe,-1
7,7,Trump,Varios megadonantes del GOP huyen de Trump y apoyan a DeSantis.,Several GOP megadonors are running from Trump and supporting DeSantis.,-1
8,8,Trump,#Trump #DeSantis #GOP,#Trump #DeSantis #GOP,0
9,9,Trump,"En un segundo mandato, Trump nos golpearía de forma diferente...","In a second term, Trump would hit us differently...",-1
10,10,Trump,Democracia frente a Trump https://t.co/iUUrktnqbl #Trump #EstadosUnidos,Democracy against Trump https://t.co/iUUrktnqbl #Trump #United States,-1
11,11,Trump,"🇺🇸 Ficha astrológica de Donald #Trump, expresidente de Estados Unidos.","🇺🇸 Astrological record of Donald #Trump, former president of the United States.",0
12,12,Trump,Califican de brutales sanciones económicas de Trump contra Venezuela https://t.co/5xRYQiMXal #Trump #Venezuela… https://t.co/GXwsgJDTEY,They describe Trump's brutal economic sanctions against Venezuela https://t.co/5xRYQiMXal #Trump #Venezuela… https://t.co/GXwsgJDTEY,-1
13,13,Trump,¡Trump vuelve!,Trump is back!,1
14,14,Trump,@DonaldTrump anuncia que competirá nueva vez por la candidatura presidencial de #USA.… https://t.co/68s6zPALNA,@DonaldTrump announces that he will compete again for the #USA presidential candidacy.… https://t.co/68s6zPALNA,0
15,15,Trump,"Yo estoy preparado”, lanzó Donald #Trump ante las decenas de seguidores que asistieron a su man… https://t.co/MnWzUFjCNW","I'm ready,"" Donald #Trump launched before the dozens of followers who attended his man… https://t.co/MnWzUFjCNW",1
16,16,Trump,El Partido Republicano se hace con el control de la Cámara de Representantes de Estados Unidos https://t.co/TaSLAZTdqU #Trump #EEUU,The Republican Party takes control of the United States House of Representatives https://t.co/TaSLAZTdqU #Trump #USA,0
17,17,Trump,#Trump contra el socialismo  Vídeo traducido por @elderechista_es  https://t.co/ZsMrO5hyYf a través de @YouTube,#Trump against socialism Video translated by @elderechista_es https://t.co/ZsMrO5hyYf via @YouTube,1
