,Unnamed: 0,Term,Instance,Trans,Annotation
0,0,Trump,#FVD is passé net als #Trump 👋👋 https://t.co/ZGQJpnjA7x,#FVD is passé just like #Trump 👋👋 https://t.co/ZGQJpnjA7x,-1
1,1,Trump,@fvdemocratie #FVD is passé net als #Trump 👋👋 https://t.co/e7QXtua3M5,@fvdemocratie #FVD is passé just like #Trump 👋👋 https://t.co/e7QXtua3M5,-1
2,2,Trump,@JanHofdijk @DrJHAmsterdam Kleine winst maar in feite een forse dreun voor de #Republikeinen met al hun macho #Trump praatjes,@JanHofdijk @DrJHAmsterdam Small profit but in fact a big blow for the #Republicans with all their macho #Trump talk,-1
3,3,Trump,#Midterms2022 Huis 218 #republikeinen #Trump,#Midterms2022 House 218 #Republicans #Trump,1
4,4,Trump,Gisteren wist @bsoenensvrt ons tijdens LIVE #vrtnws nog te vertellen dat niémand tegen #Trump durft op te staan.… https://t.co/hxbY0KpQsB,Yesterday @bsoenensvrt managed to tell us during LIVE #vrtnws that no one dares to stand up against #Trump.… https://t.co/hxbY0KpQsB,1
5,5,Trump,Lekker #Trump weer afzeiken terwijl je weet dattie gelijk heeft.… https://t.co/pFeN8MvRjY,Nice to piss off #Trump again knowing you're right.… https://t.co/pFeN8MvRjY,1
6,6,Trump,Er is nu een #youtube kanaal dat alleen maar 'Donald #Trump'-nieuws streamt.,"There is now a #youtube channel that only streams ""Donald #Trump"" news.",1
7,7,Trump,#Congress #Pelosi #Biden #Trump https://t.co/JV4Ue11Onv,#Congress #Pelosi #Biden #Trump https://t.co/JV4Ue11Onv,1
8,8,Trump,"@MeMysel50642341 @D66 Tsja, beoordelingsvermogen van een #Trump apologeet.","@MeMysel50642341 @D66 Well, judgment of a #Trump apologist.",-1
9,9,Trump,Ik vertrouw #ElonMusk ongeveer zo veel als ik #Trump vertrouw:,I trust #ElonMusk about as much as I trust #Trump:,1
10,10,Trump,#Trump #Baudet #Gideon zijn allemaal bedriegers Trump ik zorgde voor:,#Trump #Baudet #Gideon are all impostors Trump I provided:,1
11,11,Trump,"Wat zei #Trump nou bij zijn #TrumpAnnouncement ?  ""America's comeback starts right now""?","What did #Trump say in his #TrumpAnnouncement? ""America's comeback starts right now""?",1
12,12,Trump,#Trump is al weer 'welkom geheten' op #Twitter sind… https://t.co/FJvP6bxpC8,#Trump has been 'welcomed' to #Twitter since… https://t.co/FJvP6bxpC8,1
13,13,Trump,"Das een goeie, wist niet dat #Trump met #KlausSchwab sprak.","That's a good one, didn't know #Trump was talking to #KlausSchwab.",-1
14,14,Trump,VOL OP #Trump #Rusland en rechtse politici ! #totaalgeennuance… https://t.co/pN6WkY5pwO,FULL ON #Trump #Russia and right-wing politicians! #totalno nuance… https://t.co/pN6WkY5pwO,-1
15,15,Trump,#Trump2024 #Trump #TrumpForPresident,#Trump2024 #Trump #TrumpForPresident,1
16,16,Trump,Hé hé hé eindelijk wordt eens de waarheid gesproken over #Trump,Hey hey finally the truth is being spoken about #Trump,1
17,17,Trump,Of van #vonderLeyen en de #EU en van #Trump of… https://t.co/sUjuaAAbJG,Or from #vonderLeyen and the #EU and from #Trump or… https://t.co/sUjuaAAbJG,0
18,18,Trump,"En daar is ie weer, onze #Trump basher","And there he is again, our #Trump basher",1
19,19,Trump,#Trump wel.,#Trump does.,1
20,20,Trump,Al schakelend tussen de drie dagelijkse talkshows is het verbijsterend dat het alleen maar over #Trump &amp;… https://t.co/VFYoqqDCsK,"Switching between the three daily talk shows, it's baffling that it's all about #Trump &… https://t.co/VFYoqqDCsK",-1
21,21,Trump,Trump mag van mij president worden van de VS #Trump #VS Hopelijk bemoeit hij niet met de oorlog in Oekraïne,Trump may be president of the US #Trump #US Hopefully he does not interfere in the war in Ukraine,1
22,22,Trump,ZAPP #jinek zit weer #Trump te bashen ?!,ZAPP #jinek is #bashing #Trump again?!,1
23,23,Trump,#KoenPetersen : ‘Door #Trump zal de laatste senaatszetel waarschijnlijk ook naar de Democraten gaan’ 🚧 #Jinek https://t.co/p2uT5QleRf,"#KoenPetersen : 'Because of #Trump, the last Senate seat will probably also go to the Democrats' 🚧 #Jinek https://t.co/p2uT5QleRf",1
24,24,Trump,Ik hoor net dat die republikeinse tegen kandidaat van #Trump nogal op #DeSantis .,I just heard that #Trump Republican nominee is quite like #DeSantis .,0
25,25,Trump,Lekkere propoganda bij @vandaaginside over #Trump 🤢,Nice propaganda at @vandagaginside about #Trump 🤢,-1
26,26,Trump,Zo kopt krant uit het media-imperium van Rupert Murdoch over presidentiële ambitie van #Trump:,This is how Rupert Murdoch's media empire headlines about #Trump's presidential ambition:,1
27,27,Trump,"@HanTenBroeke Je hebt het er maar druk mee, maar dat zal #Trump een worst wezen.","@HanTenBroeke You're busy with it, but #Trump will be a sausage.",1
28,28,Trump,Heb je al een update over de pik van #Trump?,Do you have an update on #Trump's cock yet?,-1
29,29,Trump,In de toespraak van #Trump kwamen weer verschillende punten langs uit de basiskenmerken van het fascisme.,#Trump's speech again brought up several points from the basic characteristics of fascism.,-1
30,30,Trump,Trump heeft zich verkiesbaar gesteld voor de presidentsverkiezingen van 2024.,Trump is running for president in the 2024 presidential election.,0
31,31,Trump,@RTLnieuws heeft anti #Trump mannetje  @erikmouthaanRTL weer eens tevoorschijn gehaald.,@RTLnieuws has brought out anti #Trump man @erikmouthaanRTL again.,1
32,32,Trump,Dit om #Trump te bashen en… https://t.co/HNOf3aW5Cm,This to bash #Trump and… https://t.co/HNOf3aW5Cm,1
33,33,Trump,Als de Amerikaanse midterm-verkiezingen voorbij zijn: #Trump #MAGA #FBI #smeerstreken,When the US midterm elections are over: #Trump #MAGA #FBI #smearing,1
34,34,Trump,"@Smienos Dus als ik kom solliciteren met een #Trump-pet op of een SS-runen-t-shirt aan, dan denk jij, attitude, com… https://t.co/LKd67WwQlF","@Smienos So when I come to apply wearing a #Trump cap or SS rune t-shirt, you think, attitude, com… https://t.co/LKd67WwQlF",0
35,35,Trump,@khalidensophie Nee @SParadijs #SjuulParadijs… #Trump stond niet aan de wieg v/d #Artemis1 🚀 #SLS lancering!,@khalidensophie No @SParadijs #SjuulParadise… #Trump was not at the cradle of #Artemis1 🚀 #SLS launch!,-1
36,36,Trump,Dit is een opvallende trendbreuk van dochter Donald #Trump’ https://t.co/5gwCEGGPh1 via @YouTube,This is a striking trend break from daughter Donald #Trump' https://t.co/5gwCEGGPh1 via @YouTube,0
37,37,Trump,Volgens “Amerika deskundige @raymondmens heeft #Trump gelijk als hij beweert dat veel van de kandidaten die hij in… https://t.co/22BwEIVlnf,According to “America expert @raymondmens #Trump is correct in claiming that many of the candidates he has in… https://t.co/22BwEIVlnf,0
38,38,Trump,Merkwaardig dat feit VS Hooggerechtshof ontbrekende telefoongesprekken vrij laat geven -w.b. #Trump +de bestorming… https://t.co/ZggFQfhVYq,Curious fact that US Supreme Court releases missing telephone calls -w.b. #Trump +the Storming… https://t.co/ZggFQfhVYq,1
39,39,Trump,Merkwaardig dat feit VS Hooggerechtshof ontbrekende telefoongesprekken vrij laat geven -w.b. #Trump +de bestorming… https://t.co/22oOu9OpNN,Curious fact that US Supreme Court releases missing telephone calls -w.b. #Trump +the Storming… https://t.co/22oOu9OpNN,1
40,40,Trump,Mafkees #Trump komt opnieuw met z'n achterlijke slogan.,Wacky #Trump comes up with his retarded slogan again.,-1
41,41,Trump,"#Trump, als hij aankondigt weer voor het presidentschap te gaan.","#Trump, when he announces he will run for president again.",1
42,42,Trump,Six more years kan je los op #Trump  🎉🥳🎈.,You can go six more years on #Trump 🎉🥳🎈.,1
43,43,Trump,#Trump2024,#Trump2024,1
44,44,Trump,Hoe groot zijn de kansen van Donald #Trump op… https://t.co/HhA1s2DThF,What are Donald #Trump's chances of… https://t.co/HhA1s2DThF,0
45,45,Trump,수험생분들 $TGT rode kruis #Trump #gfvip varandas Klimaschutz Artikel 5 Trump and Biden #popmaster Beruf Dictatuur… https://t.co/QqVKLBZQld,수험생분들 $TGT red cross #Trump #gfvip varandas Klimaschutz Article 5 Trump and Biden #popmaster Beruf Dictatorship… https://t.co/QqVKLBZQld,0
46,46,Trump,Nog 2 jaar voordat #Trump t allemaal regelt.,2 more years before #Trump arranges it all.,1
47,47,Trump,Wat gaat dit voor heerlijke en nodige trammelant zorgen in de VS de komende tijd😁😁 https://t.co/JzKorfx3Dz #Trump… https://t.co/cuyPsyhnXe,What is this going to cause wonderful and necessary trouble in the US in the coming time 😁😁 https://t.co/JzKorfx3Dz #Trump… https://t.co/cuyPsyhnXe,1
48,48,Trump,Voor iedere domrechtse Trump-aanhanger.,For every right-wing Trump supporter.,-1
49,49,Trump,No more… #Trump #CapitolAttacks #extreemrechts https://t.co/AfRiNG9Ueb,No more… #Trump #CapitolAttacks #extreemright https://t.co/AfRiNG9Ueb,-1
50,50,Trump,de leugens van #Trump.,the lies of #Trump.,-1
51,51,Trump,@PGKroeger Ze dumpt #Trump in nette bewoording,@PGKroeger She dumps #Trump in nice terms,-1
52,52,Trump,"#Trump geen oorlog gestart, oorlogen beëindigd, vrede gesloten en geen Nobel vredesprijs.","#Trump started no war, ended wars, made peace and no Nobel Peace Prize.",1
53,53,Trump,De kandidatuur van #Trump  herbeleefd.,Relived #Trump's candidacy.,1
54,54,Trump,#Trump enzo ... https://t.co/GTZjy3z6jC,#Trump and stuff… https://t.co/GTZjy3z6jC,0
55,55,Trump,In plaats daarvan ben ik Trump shirts aan het ontwerpen.,"Instead, I'm designing Trump shirts.",1
56,56,Trump,#Trump  https://t.co/HRD1kC7IWH,#Trump https://t.co/HRD1kC7IWH,1
57,57,Trump,#Trump https://t.co/6OVedOhood,#Trump https://t.co/6OVedOhood,1
58,58,Trump,#DonaldTrump heeft gemeld weer #president te willen worden.,#DonaldTrump has announced that he wants to run for #president again.,0
59,59,Trump,Het gaat uiteraard om de onderste regel #Trump https://t.co/Ft0qwHwaTW via @nypost,Obviously it's about the bottom line #Trump https://t.co/Ft0qwHwaTW via @nypost,0
60,60,Trump,"„Trump deed het goed, maar nu is het tijd voor een ander”, zegt ds. Hofman uit Grand Rapids.","""Trump did well, but now it's time for someone else,"" says Rev. Hofman from Grand Rapids.",1
61,61,Trump,#trump stelt zich verkiesbaar voor het presidentschap tijdens de verkiezingen 🗳️ in 2024 #Trump2024 https://t.co/fGSglGlYR1,#trump is running for president in the election 🗳️ in 2024 #Trump2024 https://t.co/fGSglGlYR1,0
62,62,Trump,🇺🇸  #Trump kondigt zijn kandidaatschap aan voor #presidentsverkiezingen 2024  https://t.co/PBLLo5gGGf,🇺🇸 #Trump announces his candidacy for #Presidential Election 2024 https://t.co/PBLLo5gGGf,0
63,63,Trump,#Trump is terug en wil weer president zijn.,#Trump is back and wants to be president again.,0
64,64,Trump,#TrumpMeltdown  https://t.co/vAGae0n2hE,#TrumpMeltdown https://t.co/vAGae0n2hE,-1
65,65,Trump,#Trump se twitter rekening asseblief,#Trump's twitter account please,-1
66,66,Trump,#interview met Mike #Pence over #Trump en de bestorming vh Capitool op 6 jan 2021.,"#interview with Mike #Pence about #Trump and the storming of the Capitol on Jan 6, 2021.",0
67,67,Trump,Interview op de dag dat Trump zi… https://t.co/TF6bPPnQrz,Interview on the day Trump is… https://t.co/TF6bPPnQrz,0
68,68,Trump,#TrumpAnnouncement #Trump2024 #Trump https://t.co/7HK2s9iOIa,#TrumpAnnouncement #Trump2024 #Trump https://t.co/7HK2s9iOIa,0
69,69,Trump,Mooie campagne #TFA .. Trump Failed America … linke directe van #Biden aan #Trump,Nice campaign #TFA .. Trump Failed America ... left direct from #Biden to #Trump,0
70,70,Trump,#Trump #Trump2024,#Trump #Trump2024,1
71,71,Trump,Trump-fan dolblij: 'MAGA-petje al zes jaar niet afgezet' https://t.co/qH5gASp8DZ,Trump fan overjoyed: 'MAGA cap hasn't been removed for six years' https://t.co/qH5gASp8DZ,0
72,72,Trump,Trump gaat opnieuw voor het Amerikaanse presidentschap 🙏🏻 #DonaldTrump #Trump2024 #Trump #SaveAmerica https://t.co/QTjsLfVlDZ,Trump is running for the US presidency again 🙏🏻 #DonaldTrump #Trump2024 #Trump #SaveAmerica https://t.co/QTjsLfVlDZ,1
73,73,Trump,Trump probeert nogmaals president van de VS te worden.,Trump is once again trying to become president of the United States.,0
74,74,Trump,#Trump #VS #Politiek #Verkiezingen # https://t.co/HZOEQxLWtz,#Trump #USA #Politics #Elections # https://t.co/HZOEQxLWtz,-1
75,75,Trump,Waarom zit #Trump niet in de #Artemis1 en wordt die niet op de #maan gedumpt?,Why isn't #Trump in the #Artemis1 and dumped on the #moon?,0
76,76,Trump,@Laurensdroog #Trump was 4 jaar President maar heeft daarin voor 20 jaar werk verzet..,@Laurensdro #Trump was President for 4 years but has done work for 20 years..,1
77,77,Trump,#Trump2024,#Trump2024,1
78,78,Trump,#Trump #tribunaal #buitenhof #Op1npo,#Trump #tribunal #buitenhof #Op1npo,-1
79,79,Trump,#Trump is niet eens trending op mijn tijdlijn!,#Trump isn't even trending on my timeline!,1
80,80,Trump,#Trump wil met zijn kandidatuur debat over leiderschap de kop indrukken /via @NOS https://t.co/7fQTPuZYIG,#Trump wants to quell leadership debate with his candidacy /via @NOS https://t.co/7fQTPuZYIG,0
81,81,Trump,#Trump https://t.co/NQLfB2mUxC,#Trump https://t.co/NQLfB2mUxC,0
82,82,Trump,"Ik stipte slechts de negatieve connotatie aan van de aanduiding #Trumpisme #Trumpism ,… https://t.co/jeWc2HCMBX","I was just pointing out the negative connotation of the designation #Trumpism #Trumpism ,… https://t.co/jeWc2HCMBX",-1
83,83,Trump,#Trump https://t.co/mWpudxckXl,#Trump https://t.co/mWpudxckXl,0
84,84,Trump,Trump heeft zich opnieuw gekandideerd voor het presidentschap.,Trump has run for president again.,0
85,85,Trump,"Ik probeer in het algemeen mensen niet dood te wensen, maar hoop heel hard dat #Trump door een natuurlijke ooorzaak… https://t.co/rXe5vBmb0U","I try not to wish people dead in general, but really hope that #Trump comes from a natural cause… https://t.co/rXe5vBmb0U",-1
86,86,Trump,#Trump weer dagelijks op tv?,#Trump on TV daily again?,0
87,87,Trump,Trump gaat opnieuw voor het Amerikaanse presidentschap,Trump is running for the US presidency again,0
88,88,Trump,#DonaldTrump #Trump… https://t.co/j1lVjPwlz5,#DonaldTrump #Trump… https://t.co/j1lVjPwlz5,0
89,89,Trump,#TrumpAnnouncement #Trump2024 #Trump https://t.co/2efZwpgGTT,#TrumpAnnouncement #Trump2024 #Trump https://t.co/2efZwpgGTT,0
90,90,Trump,#Trump,#Trump,1
91,91,Trump,Ook dat nog #Trump,That too #Trump,-1
92,92,Trump,#Trump https://t.co/8AlGKi2qpm,#Trump https://t.co/8AlGKi2qpm,1
93,93,Trump,#Trump heeft dus zojuist aangekondigd dat hij de verkiezingen van 2024 helemaal niet verloren heeft,So #Trump just announced that he didn't lose the 2024 election at all,0
94,94,Trump,"Kunnen ze de volgende keer #Poetin, #Trump en dat zooitje van #FVD niet meenemen?","Can't they bring #Putin, #Trump and that #FVD mess next time?",-1
95,95,Trump,#Trump #TrumpIsDone,#Trump #TrumpIsDone,-1
96,96,Trump,Weer 2 jaar gezeik van en over  #Trump.,Another 2 years of bullshit from and about #Trump.,-1
97,97,Trump,Ik vind #Trump vrouwonvriendelijk&amp;vaak kinderachtig maar als het #WEF bedrijft.Wat is… https://t.co/KEBj3cxldu,I find #Trump misogynistic&often childish but when it does #WEF.What is… https://t.co/KEBj3cxldu,-1
98,98,Trump,Donald Trump kondigt kandidatuur aan voor presidentschap in 2024 wie zou dat nu gedacht hebben  ;-) #Trump2024… https://t.co/9Re1XCdROw,Donald Trump announces candidacy for president in 2024 who would have thought ;-) #Trump2024… https://t.co/9Re1XCdROw,1
99,99,Trump,#Trump gaat er weer voor!,#Trump is at it again!,1
100,100,Trump,#TrumpAnnouncement #DonaldTrump #PresidentTrump https://t.co/u1eZSprUC3,#TrumpAnnouncement #DonaldTrump #PresidentTrump https://t.co/u1eZSprUC3,0
101,101,Trump,#Trump stelt zich opnieuw verkiesbaar.,#Trump is running for re-election.,0
102,102,Trump,Zelf heb ik weinig sympathie of voeling met #Trump.,I personally have little sympathy or feeling for #Trump.,-1
103,103,Trump,#Trump stelt zich opnieuw verkiesbaar als president van de Verenigde Staten https://t.co/THe2Z7Qiml,#Trump is running for re-election as President of the United States https://t.co/THe2Z7Qiml,0
104,104,Trump,#NOS #Nieuws #Trump wil met zijn kandidatuur debat over leiderschap de kop indrukken /via @NOS https://t.co/0PfmMLx2OX,#NOS #News #Trump wants to quell leadership debate with his candidacy /via @NOS https://t.co/0PfmMLx2OX,0
105,105,Trump,#Trump alles beter dan het bewind onder het oorlogszuchtige bewind van #Biden,#Trump everything better than the reign under #Biden's belligerent rule,1
106,106,Trump,#Trump doet opnieuw een gooi naar h… https://t.co/W9IJadVzHC,#Trump takes another stab at the… https://t.co/W9IJadVzHC,0
107,107,Trump,Weg van wereld waarin #Trump zich weer verkiesbaar stelt.,Away from a world in which #Trump stands for election again.,-1
108,108,Trump,#Trump presenteert zijn karikatuur voor de komende presidentsverkiezingen.,#Trump presents his caricature for the upcoming presidential election.,0
109,109,Trump,@CaseyDeSantis of #Trump in 2024  als POTUS . Ik zeg JA!,@CaseyDeSantis of #Trump in 2024 as POTUS. I say yes!,1
110,110,Trump,#Trump is een directe bedreiging voor de Amerikaanse democ… https://t.co/fWupjPYAgD,#Trump is a direct threat to American democracy… https://t.co/fWupjPYAgD,-1
111,111,Trump,Trump wil met zijn kandidatuur debat over leiderschap de kop indrukken /via @NOS,Trump wants to quell leadership debate with his candidacy /via @NOS,1
112,112,Trump,"Dus #Trump leidde geen nederlaag, hij leed hem.","So #Trump didn't suffer defeat, he suffered it.",1
113,113,Trump,#Trump https://t.co/ypBwiMPZde,#Trump https://t.co/ypBwiMPZde,0
114,114,Trump,Wanneer #Trump verliest van deSa… https://t.co/Ir5bxnjL7L,When #Trump loses to deSa… https://t.co/Ir5bxnjL7L,-1
115,115,Trump,Trump is het liegen nog niet verleerd.,Trump hasn't forgotten lying yet.,-1
116,116,Trump,#FactCheck #Trump 🙄 https://t.co/1XDxWzns0S,#FactCheck #Trump 🙄 https://t.co/1XDxWzns0S,1
117,117,Trump,in #Trump… https://t.co/1MA2XU8AzD,in #Trump… https://t.co/1MA2XU8AzD,0
118,118,Trump,Trump weg is.,Trump is gone.,-1
119,119,Trump,#Trump // De Amerikaanse oud-president Donald Trump is opnieuw kandidaat voor het Amerikaanse presidentschap.,#Trump // Former US President Donald Trump is running again for the US presidency.,0
120,120,Trump,#Trump #zouverbodenmoetenworden #opruier,#Trump #shouldbebanned #incitement,-1
121,121,Trump,#Trump doet opnieuw een gooi naar het Witte Huis:,#Trump takes another shot at the White House:,0
122,122,Trump,Ja het is zeker 💪🏽 #Trump stelt zichzelf weer verkiesbaar ❤ Let's make America great again.,Yes it's for sure 💪🏽 #Trump is standing for election again ❤ Let's make America great again.,1
123,123,Trump,Als #Trump de republikeinse kandidaat wordt en #Fetterman de democratische dan verliezen de republikeinen.,"If #Trump becomes the Republican nominee and #Fetterman becomes the Democratic nominee, the Republicans lose.",0
124,124,Trump,https://t.co/JtOJAbUT8S #TrumpAnnouncement #trump,https://t.co/JtOJAbUT8S #TrumpAnnouncement #trump,0
125,125,Trump,#Trump zich weer kandidaat heeft gesteld of het eindeloze gejammer… https://t.co/Iz9w97dWJV,#Trump has run again or the endless whining… https://t.co/Iz9w97dWJV,-1
126,126,Trump,#Trump:,#Trump:,1
127,127,Trump,Amerika gaat niet nog een keer zo gek zijn toch?! 😫 #Trump https://t.co/9lEuDT1hZW,"America isn't going to be this crazy again, right?! 😫 #Trump https://t.co/9lEuDT1hZW",-1
